"product_code","product_description","unit","country","quantity","value"
"0010600","CATTLE. UNDER 200 LBS-NO","NO","CANADA",15609.0,627780.0
"0010600","CATTLE. UNDER 200 LBS-NO","NO","TOTAL",15609.0,627780.0
"0010600","CATTLE, UNDER 200 LBS-LB","LB","CANADA",2029159.0,""
"0010600","CATTLE, UNDER 200 LBS-LB","LB","TOTAL",2029159.0,""
"0010700","CATTLE, 200 LBS & UNDER","","LBS-NO",700.0,""
"0010700","CATTLE, 200 LBS & UNDER","","CANADA",51103.0,8321775.0
"0010700","CATTLE, 200 LBS & UNDER","","BAHAMAS","",741.0
"0010700","CATTLE, 200 LBS & UNDER","","TOTAL",51107.0,8322516.0
"0010700","CATTLE, 200 LBS & UNDER","","LBS-LB",700.0,""
"0010700","CATTLE, 200 LBS & UNDER","","CANADA",23648308.0,""
"0010700","CATTLE, 200 LBS & UNDER","","BAHAMAS",1709.0,""
"0010700","CATTLE, 200 LBS & UNDER","","TOTAL",23650017.0,""
"0010800","COWS, DAIRY, 700 LBS & OVER-NO","NO","CANADA",35600.0,10012981.0
"0010800","COWS, DAIRY, 700 LBS & OVER-NO","NO","BAHAMAS",26.0,9284.0
"0010800","COWS, DAIRY, 700 LBS & OVER-NO","NO","TOTAL",35626.0,10022265.0
"0010800","COWS, DAIRY, 700 LBS & OVER-LA","LA","CANADA",36153441.0,""
"0010800","COWS, DAIRY, 700 LBS & OVER-LA","LA","BAHAMAS",29605.0,""
"0010800","COWS, DAIRY, 700 LBS & OVER-LA","LA","TOTAL",36183046.0,""
"0010900","CATTLE, NSPF 700 LBS & OVER-NO","NO","CANADA",117455.0,33185735.0
"0010900","CATTLE, NSPF 700 LBS & OVER-NO","NO","BAHAMAS",24.0,11140.0
"0010900","CATTLE, NSPF 700 LBS & OVER-NO","NO","TOTAL",117479.0,33196875.0
"0010900","CATTLE. NSPF 700 LBS & OVER-LR","LR","CANADA",109927970.0,""
"0010900","CATTLE. NSPF 700 LBS & OVER-LR","LR","BAHAMAS I",25350.0,""
"0010900","CATTLE. NSPF 700 LBS & OVER-LR","LR","TOTAL",109953320.0,""
"0012000","SHEEP & LAMBS-NUMBER","NUMBER","CANADA",13804.0,463472.0
"0012000","SHEEP & LAMBS-NUMBER","NUMBER","AUSTRAL",508.0,35150.0
"0012000","SHEEP & LAMBS-NUMBER","NUMBER","TOTAL",14312.0,498622.0
"0012200","GOATS-NUMBER","NUMBER","CANADA",34.0,1650.0
"0012200","GOATS-NUMBER","NUMBER","TOTAL",34.0,1650.0
"0013000","HOGS-POUND","POUND","CANADA",189587.0,84528.0
"0013000","HOGS-POUND","POUND","TOTAL",189587.0,84528.0
"0014000","TURKEYS, LIVE-POUND","POUND","CANADA",22367.0,9926.0
"0014000","TURKEYS, LIVE-POUND","POUND","TOTAL",22367.0,9926.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","CANADA.",250390.0,87442.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","CUBA",309.0,940.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","DOM REP",105.0,300.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","DENMARK",556.0,757.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","U KING",548.0,2184.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","NETHLDS",376.0,1449.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","SPAIN",123.0,188.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","INDIA",642.0,359.0
"0015000","CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB","LB","TOTAL",253049.0,93619.0
"0015500","BABY CHICKS OF POULTRY-NO","NO","CANADA",316905.0,28716.0
"0015500","BABY CHICKS OF POULTRY-NO","NO","TOTAL",316905.0,28716.0
"0015500","BABY CHICKS OF POULTRY-NO ON18000 BEEF. FRESH. CHILLED. OR FROZEN-LB","LB","CANADA",74436646.0,36620291.0
"0015500","BABY CHICKS OF POULTRY-NO ON18000 BEEF. FRESH. CHILLED. OR FROZEN-LB","LB","DOM REP",3806209.0,844176.0
"0015500","BABY CHICKS OF POULTRY-NO ON18000 BEEF. FRESH. CHILLED. OR FROZEN-LB","LB","IRELAND",8326205.0,3214994.0
"0015500","BABY CHICKS OF POULTRY-NO ON18000 BEEF. FRESH. CHILLED. OR FROZEN-LB","LB","AUSTRAL",247903.0,95597.0
"0015500","BABY CHICKS OF POULTRY-NO ON18000 BEEF. FRESH. CHILLED. OR FROZEN-LB","LB","N ZEAL",28336.0,12217.0
"0015500","BABY CHICKS OF POULTRY-NO ON18000 BEEF. FRESH. CHILLED. OR FROZEN-LB","LB","TOTAL",86845299.0,40787275.0
