product_code,product_description,unit,country,quantity,value,page,column
0010600,"CATTLE, UNDER 200 LBS-NO",NO,CANADA,15609,627780,1,a
0010600,"CATTLE, UNDER 200 LBS-NO",NO,TOTAL,15609,627780,1,a
0010600,"CATTLE, UNDER 200 LBS-LB",LB,CANADA,2029159,NA,1,a
0010600,"CATTLE, UNDER 200 LBS-LB",LB,TOTAL,2029159,NA,1,a
0010700,"CATTLE, 200 LBS & UNDER",NA,CANADA,51103,8321775,1,a
0010700,"CATTLE, 200 LBS & UNDER",NA,BAHAMAS,NA,741,1,a
0010700,"CATTLE, 200 LBS & UNDER",NA,TOTAL,51107,8322516,1,a
X0010700,"XCATTLE, 200 LBS & UNDER",NA,CANADA,23648308,NA,1,a
X0010700,"XCATTLE, 200 LBS & UNDER",NA,BAHAMAS,1709,NA,1,a
X0010700,"XCATTLE, 200 LBS & UNDER",NA,TOTAL,23650017,NA,1,a
0010800,"COWS, DAIRY, 700 LBS & OVER-NO",NO,CANADA,35600,10012981,1,a
0010800,"COWS, DAIRY, 700 LBS & OVER-NO",NO,BAHAMAS,26,9284,1,a
0010800,"COWS, DAIRY, 700 LBS & OVER-NO",NO,TOTAL,35626,10022265,1,a
0010800,"COWS, DAIRY, 700 LBS & OVER-LB",LB,CANADA,36153441,NA,1,a
0010800,"COWS, DAIRY, 700 LBS & OVER-LB",LB,BAHAMAS,29605,NA,1,a
0010800,"COWS, DAIRY, 700 LBS & OVER-LB",LB,TOTAL,36183046,NA,1,a
0010900,"CATTLE, NSPF 700 LBS & OVER-NO",NO,CANADA,117455,33185735,1,a
0010900,"CATTLE, NSPF 700 LBS & OVER-NO",NO,BAHAMAS,24,11140,1,a
0010900,"CATTLE, NSPF 700 LBS & OVER-NO",NO,TOTAL,117479,33196875,1,a
0010900,"CATTLE, NSPF 700 LBS & OVER-LB",LB,CANADA,109927970,NA,1,a
0010900,"CATTLE, NSPF 700 LBS & OVER-LB",LB,BAHAMAS,25350,NA,1,a
0010900,"CATTLE, NSPF 700 LBS & OVER-LB",LB,TOTAL,109953320,NA,1,a
0012000,SHEEP & LAMBS-NUMBER,NUMBER,CANADA,13804,463472,1,a
0012000,SHEEP & LAMBS-NUMBER,NUMBER,AUSTRAL,508,35150,1,a
0012000,SHEEP & LAMBS-NUMBER,NUMBER,TOTAL,14312,498622,1,a
0012200,GOATS-NUMBER,NUMBER,CANADA,34,1650,1,a
0012200,GOATS-NUMBER,NUMBER,TOTAL,34,1650,1,a
0013000,HOGS-POUND,POUND,CANADA,189587,84528,1,a
0013000,HOGS-POUND,POUND,TOTAL,189587,84528,1,a
0014000,"TURKEYS, LIVE-POUND",POUND,CANADA,22367,9926,1,a
0014000,"TURKEYS, LIVE-POUND",POUND,TOTAL,22367,9926,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,CANADA,250390,87442,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,CUBA,309,940,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,DOM REP,105,300,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,DENMARK,556,757,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,U KING,548,2184,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,NETHLDS,376,1449,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,SPAIN,123,188,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,INDIA,642,359,1,a
0015000,"CHICKENS, DUCKS, GEESE, GUINAS, LIVE-LB",LB,TOTAL,253049,93619,1,a
0015500,BABY CHICKS OF POULTRY-NO,NO,CANADA,316905,28716,1,a
0015500,BABY CHICKS OF POULTRY-NO,NO,TOTAL,316905,28716,1,a
0015500,"BABY CHICKS OF POULTRY-NO ON18000 BEEF, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,74436646,36620291,1,a
0015500,"BABY CHICKS OF POULTRY-NO ON18000 BEEF, FRESH, CHILLED, OR FROZEN-LB",LB,DOM REP,3806209,844176,1,a
0015500,"BABY CHICKS OF POULTRY-NO ON18000 BEEF, FRESH, CHILLED, OR FROZEN-LB",LB,IRELAND,8326205,3214994,1,a
0015500,"BABY CHICKS OF POULTRY-NO ON18000 BEEF, FRESH, CHILLED, OR FROZEN-LB",LB,AUSTRAL,247903,95597,1,a
0015500,"BABY CHICKS OF POULTRY-NO ON18000 BEEF, FRESH, CHILLED, OR FROZEN-LB",LB,N ZEAL,28336,12217,1,a
0015500,"BABY CHICKS OF POULTRY-NO ON18000 BEEF, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,86845299,40787275,1,a
0019000,"VEAL, FRESH, CHILLED, OR FROZEN-LB",LB,CANADA,7289178,3855899,1,b
0019000,"VEAL, FRESH, CHILLED, OR FROZEN-LB",LB,DENMARK,100,59,1,b
0019000,"VEAL, FRESH, CHILLED, OR FROZEN-LB",LB,AUSTRAL,232,53,1,b
0019000,"VEAL, FRESH, CHILLED, OR FROZEN-LB",LB,N ZEAL,8955,2182,1,b
0019000,"VEAL, FRESH, CHILLED, OR FROZEN-LB",LB,TOTAL,7298465,3858193,1,b
0020100,PORK. FRESH OR CHILLED-LB,LB,CANADA DA,5106065,1967592,1,b
0020100,PORK. FRESH OR CHILLED-LB,LB,DOM REP,41873,13832,1,b
0020100,PORK. FRESH OR CHILLED-LB,LB,TOTAL,5147938,1981424,1,b
0020500,PORK. FROZEN-POUND,POUND,CANADA,4660434,1617377,1,b
0020500,PORK. FROZEN-POUND,POUND,N ZEAL ,25058,8099,1,b
0020500,PORK. FROZEN-POUND,POUND,TOTAL,4685492,1625476,1,b
